name,"Lichess Name
(if different)",Ban Date,Reason,Other Notes
bandol3ro,,01/05/2021,Violated Lichess terms of service,https://lichess.org/@/bandol3ro
nsmiller7,,05/05/2021,Violated Lichess terms of service,https://lichess.org/@/nsmiller7
Bobjonsty,,06/05/2021,Cheat detected game history,https://lichess.org/h8KsvUnh/black
Eithrial,,10/05/2021,Violated Lichess terms of service,https://lichess.org/@/Eithrial
xToms,,25/05/2021,Violated Lichess terms of service,https://lichess.org/@/xToms
ashc13,,01/06/2021,Cheat detected game history,https://lichess.org/I73ZKKsQ
razzld,,08/06/2021,Violated Lichess terms of service,https://lichess.org/@/razzld
johnjaison2008,,08/06/2021,Violated Lichess terms of service,mark reversed and readmitted
yoyold,,14/06/2021,Violated Lichess terms of service,https://lichess.org/@/yoyold
bogeyknight,,14/06/2021,Violated Lichess terms of service,https://lichess.org/@/bogeyknight
arpodymov,,16/06/2021,Violated Lichess terms of service,https://lichess.org/@/arpodymov
madamcza,,18/06/2021,Cheat detected game in history,https://lichess.org/qfNuMbe6
mjf1234,,20/06/2021,Violated Lichess terms of service,https://lichess.org/@/mjf1234
rsava,,28/06/2021,Cheat detected game in history,https://lichess.org/u7feTOAy
debmate,,02/07/2021,Violated Lichess terms of service,https://lichess.org/@/debmate
vaplo1008,,04/07/2021,Violated Lichess terms of service,https://lichess.org/@/vaplo1008
feyvel,,12/07/2021,Violated Lichess terms of service,https://lichess.org/@/feyvel
tactaht,,16/07/2021,Violated Lichess terms of service,https://lichess.org/@/tactaht
gouldchess91,,18/07/2021,Violated Lichess terms of service,https://lichess.org/@/gouldchess91
Toppest,,21/07/2021,Cheat detected game in history,https://lichess.org/IetFb0yE/black
